PREC_ID,PREC_NAME,DEM,REP,OTHER,W,B,I,M,O,P,U,A
08N,NORTH NEWLIN,782,1095,929,2184,201,4,11,71,0,322,13
10N,NORTH MELVILLE,1061,1229,1206,2479,451,6,17,73,1,446,23
103,MELVILLE 3,875,1227,1121,2389,308,10,18,65,0,406,27
03S,SOUTH BOONE,2256,2149,2452,4269,1158,16,53,220,0,978,163
124,BURLINGTON 4,660,532,589,1245,298,4,15,35,0,171,13
13,HAW RIVER,1558,916,999,1739,1096,4,25,118,0,472,19
06N,NORTH GRAHAM,1212,421,749,961,917,12,21,112,0,349,10
09N,NORTH THOMPSON,781,798,768,1523,444,5,10,40,0,302,23
10S1,SOUTH MELVILLE,2226,1612,2066,3329,1341,14,43,147,0,978,52
03C,CENTRAL BOONE,629,974,693,1871,156,2,10,52,0,171,34
03N,NORTH BOONE,1111,1068,1125,2600,262,2,32,54,0,307,47
03W,WEST BOONE,776,1136,1012,2220,282,12,14,50,0,321,25
07,ALBRIGHT,621,1531,931,2604,165,6,15,35,0,249,9
035,BOONE 5,1457,1518,1623,3394,482,5,46,78,0,544,49
UNVERIFIED,UNVERIFIED,504598,315846,325051,764979,275118,9220,9476,22290,3,53481,10927
126,BURLINGTON 6,484,701,519,1469,68,1,2,24,0,130,10
104,MELVILLE 4,868,497,812,1179,515,7,20,71,0,343,42
127,BURLINGTON 7,2333,609,1132,1222,2077,10,43,155,2,546,19
09S,SOUTH THOMPSON,1357,1616,1520,3260,460,14,29,123,1,565,41
12N,NORTH BURLINGTON,2179,276,773,653,1966,13,34,141,0,417,4
128,BURLINGTON 8,1054,343,615,750,865,3,28,60,2,290,14
02,COBLE,589,1841,1056,3043,111,15,5,27,0,276,9
06E,EAST GRAHAM,923,636,749,1329,599,15,20,57,0,273,15
129,BURLINGTON 9,472,718,515,1256,212,0,7,33,1,178,18
06W,WEST GRAHAM,473,263,363,569,302,0,8,70,0,142,8
064,GRAHAM 4,1281,1590,1443,2942,629,10,25,127,0,522,59
08S,SOUTH NEWLIN,332,651,503,1224,72,3,6,18,0,160,3
06S,SOUTH GRAHAM,1059,1022,996,1961,618,2,26,70,0,367,33
11,PLEASANT GROVE,1481,948,857,1646,1198,9,24,50,0,352,7
12W,WEST BURLINGTON,760,571,698,1451,271,4,20,47,0,227,9
125,BURLINGTON 5,640,697,642,1450,265,2,14,50,0,177,21
05,FAUCETTE,462,1288,739,2142,105,3,3,19,0,215,2
01,PATTERSON,645,1818,1121,2987,209,9,15,28,0,324,12
063,GRAHAM 3,1332,464,753,947,930,7,30,185,0,437,13
12S,SOUTH BURLINGTON,613,198,403,426,487,3,19,72,0,199,8
04,MORTON,817,1876,1060,3025,348,9,14,26,1,325,5
1210,BURLINGTON 10,806,497,657,1006,604,9,22,54,0,249,16
12E,EAST BURLINGTON,785,295,501,610,587,8,17,93,0,249,17
03N2,NORTH BOONE 2,257,234,242,682,11,0,0,2,0,37,1
T1T4T5,TAYLORSVILLE #1 #4 #5,755,1803,1245,3128,259,7,3,43,0,335,28
M,MILLERS,363,720,595,1370,100,2,2,38,0,153,13
G1G2,GWALTNEY #1 #2,372,701,453,1375,38,2,3,12,0,96,0
B1,BETHLEHEM #1,408,1530,915,2489,21,5,7,15,1,290,25
